"","ID","Orig","NumAv","NumUp","NumDn","ChangeUp","ChangeDn","ChangeBt","Gender","Age","LocUS"
"1","   1","Yanney",,40,,1,0,0,"M","30",""
"2","   2","Yanney",46,48,44,1,1,1,"F","30",""
"3","   3","Yanney",,,64,1,1,1,"M","30",""
"4","   4","Yanney",,,,0,0,0,"M","25",""
"5","   5","Laurel",40,42,38,1,1,1,"M","25",""
"6","   6","Laurel",,,40,0,1,0,"F","30",""
"7","   7","Yanney",44,48,40,1,1,1,"F","35","Midwest"
"8","   8","Laurel",35,38,32,1,1,1,"M","25","Southeast"
"9","   9","Yanney",,,,0,0,0,"F","30","Northeast"
"10","  10","Laurel",38,38,38,1,1,1,"M","30","Southwest"
"11","  11","Laurel",,,62,1,1,1,"M","25",""
"12","  12","Laurel",45,56,34,1,1,1,"M","25","Southeast"
"13","  13","Laurel",44,44,44,1,1,1,"F","40",""
"14","  14","Laurel",,,,1,0,0,"M",,""
"15","  15","Laurel",41,46,36,1,1,1,"F","30","Northeast"
"16","  16","Laurel",,,42,1,1,1,"F","35","Northeast"
"17","  17","Laurel",38,40,36,1,1,1,"M","35","Northeast"
"18","  18","Yanney",,64,,1,0,0,"F","30","Southeast"
"19","  19","Laurel",,,66,0,1,0,"F","30","Southeast"
"20","  20","Laurel",,,46,0,1,0,"M","35","Southwest"
"21","  21","Laurel",50,36,64,1,1,1,"M","30","Southeast"
"22","  22","Laurel",,46,,1,0,0,"M","25","Southwest"
"23","  23","Yanney",46,50,42,1,1,1,"F","55","Southwest"
"24","  24","Laurel",45,48,42,1,1,1,"M","30","Midwest"
"25","  25","Laurel",47,34,60,1,1,1,"F","30","Southwest"
"26","  26","Laurel",38,42,34,1,1,1,"M","25",""
"27","  27","Yanney",55,66,44,1,1,1,"M","30","Northeast"
"28","  28","Yanney",,,,0,0,0,"F","25","Northeast"
"29","  29","Yanney",,,54,0,1,0,"F","25","Southeast"
"30","  30","Laurel",38,38,38,1,1,1,"F","50","Southeast"
"31","  31","Laurel",,,,0,0,0,"M","50","Southeast"
"32","  32","Yanney",43,50,36,1,1,1,"M","25","Midwest"
"33","  33","Laurel",,,54,1,1,1,"F","25","Northeast"
"34","  34","Yanney",,,,0,0,0,"M","25","Northeast"
"35","  35","Yanney",,,,0,0,0,"M",,""
"36","  36","Yanney",,,,0,0,0,"M","25","Northeast"
"37","  37","Laurel",,,46,1,1,1,"F","25","Northeast"
"38","  38","Laurel",44,34,54,1,1,1,"M","30","Southeast"
"39","  39","Laurel",42,44,40,1,1,1,"M","45","Northeast"
"40","  40","Laurel",,,38,0,1,0,"M","30","Midwest"
"41","  41","Laurel",39,42,36,1,1,1,"M","50","Southwest"
"43","  43","Laurel",,,40,0,1,0,"M","40","Southwest"
"44","  44","Laurel",41,46,36,1,1,1,"M","25",""
"45","  45","Laurel",,,32,1,1,1,"M","55","Southwest"
"46","  46","Laurel",45,56,34,1,1,1,"M","25","Midwest"
"47","  47","Laurel",44,48,40,1,1,1,"M","25","Southwest"
"48","  48","Yanney",,,,0,0,0,"F","25","Midwest"
"49","  49","Laurel",40,46,34,1,1,1,"M","50","Southeast"
"50","  50","Yanney",50,54,46,1,1,1,"F","30","Northeast"
"51","  51","Yanney",,,40,0,1,0,"F","30","Northeast"
"52","  52","Yanney",50,50,50,1,1,1,"M","35","Southwest"
"53","  53","Laurel",,,,0,0,0,"M","35",""
"54","  54","Yanney",,,38,1,1,1,"F","30","Northeast"
"55","  55","Yanney",,,,1,0,0,,,""
"56","  56","Laurel",,40,,1,0,0,"M","45","Southwest"
"57","  57","Laurel",,,32,0,1,0,"M","30","Southwest"
"58","  58","Laurel",,46,,1,0,0,"M","30","Midwest"
"59","  59","Laurel",,,,0,0,0,,,"Northeast"
"60","  60","Laurel",35,34,36,1,1,1,"M","30","Northeast"
"61","  61","Yanney",,,,0,0,0,"F","30","Southeast"
"62","  62","Yanney",,,50,1,1,1,"F","35","Southwest"
"63","  63","Yanney",55,60,50,1,1,1,"M","25",""
"64","  64","Laurel",,44,,1,0,0,"M","30","Midwest"
"65","  65","Laurel",44,46,42,1,1,1,"M","25",""
"66","  66","Laurel",41,46,36,1,1,1,"M","30","Northeast"
"67","  67","Laurel",60,66,54,1,1,1,"M","25","Midwest"
"68","  68","Yanney",46,56,36,1,1,1,"F","25","Southwest"
"69","  69","Laurel",,,42,0,1,0,"F","30","Southeast"
"70","  70","Yanney",,,,0,0,0,"F","25","Southeast"
"71","  71","Yanney",,,,0,0,0,"M","30","Midwest"
"72","  72","Yanney",,,,0,0,0,"M","35","Northeast"
"73","  73","Laurel",45,46,44,1,1,1,"M","30","Southwest"
"74","  74","Yanney",,,,0,0,0,"M","25","Northeast"
"75","  75","Yanney",,,,1,0,0,"M","35","Midwest"
"76","  76","Laurel",42,42,42,1,1,1,"M","30","Southeast"
"77","  77","Laurel",36,40,32,1,1,1,"M","25","Northeast"
"78","  78","Yanney",,,,0,0,0,"F","40","Southeast"
"79","  79","Yanney",,,,0,0,0,"F","35",""
"80","  80","Yanney",55,64,46,1,1,1,"F","35","Southeast"
"81","  81","Laurel",,,,0,1,0,"M","30","Northeast"
"82","  82","Laurel",,,,1,0,0,"M","30","Southwest"
"83","  83","Yanney",45,54,36,1,1,1,"M","35","Southeast"
"84","  84","Laurel",,,,0,0,0,,,""
"85","  85","Laurel",37,36,38,1,1,1,"M","18",""
"86","  86","",,,,0,0,0,,,""
"87","  87","Yanney",53,60,46,1,1,1,"F","45","Southwest"
"88","  88","Laurel",,,36,0,1,0,,,""
"89","  89","Yanney",,,,0,0,0,"F","30","Northeast"
"90","  90","Laurel",,,,1,0,0,"M","30",""
"91","  91","Laurel",,,,1,0,0,"M","30",""
"92","  92","Laurel",,,42,0,1,0,"M","25","Southeast"
"93","  93","",,,,0,0,0,,,""
"94","  94","Yanney",,,56,0,1,0,"M","25","Southeast"
"95","  95","Yanney",,,,0,0,0,"M","30","West"
"96","  96","Yanney",,,,0,0,0,"F","35","Northeast"
"97","  97","Laurel",,,40,1,1,1,"M","30","Northeast"
"98","  98","Laurel",39,44,34,1,1,1,"M","25","Northeast"
"99","  99","Laurel",42,42,42,1,1,1,"M","35","Southeast"
"100"," 100","Yanney",39,38,40,1,1,1,"M","25","West"
"101"," 101","Laurel",40,44,36,1,1,1,"F","50","Midwest"
"102"," 102","Laurel",38,38,38,1,1,1,"F","25",""
"103"," 103","Laurel",,,50,1,1,1,"F","25","Southeast"
"104"," 104","Laurel",,,40,0,1,0,"M","25",""
"105"," 105","Laurel",60,60,60,1,1,1,"M","30",""
"106"," 106","Yanney",54,48,60,1,1,1,"M","35","Midwest"
"107"," 107","Yanney",53,58,48,1,1,1,"F","30",""
"108"," 108","Yanney",48,42,54,1,1,1,"F","18","Southeast"
"109"," 109","Yanney",,54,,1,0,0,"F","30","Southeast"
"110"," 110","Laurel",,,,0,0,0,"M","18",""
"111"," 111","Laurel",,,32,0,1,0,"M",,""
"112"," 112","Laurel",39,42,36,1,1,1,"M","25","Southeast"
"113"," 113","Yanney",48,42,54,1,1,1,"M","30","Southeast"
"114"," 114","Yanney",,66,,1,0,0,"M","25","Midwest"
"115"," 115","Yanney",41,46,36,1,1,1,"M","18","West"
"116"," 116","Laurel",45,46,44,1,1,1,"M","25","Northeast"
"117"," 117","Laurel",54,48,60,1,1,1,"M","25","Northeast"
"118"," 118","Laurel",35,36,34,1,1,1,"M","30","Midwest"
"119"," 119","Laurel",,,,0,0,0,"M","35","Midwest"
"120"," 120","Laurel",44,48,40,1,1,1,"F","18","Southeast"
"121"," 121","Laurel",39,40,38,1,1,1,"M","25","Midwest"
"122"," 122","Yanney",,,34,0,1,0,"F","25","Southeast"
"123"," 123","Laurel",,,40,1,1,1,"M","40","Southeast"
"124"," 124","Laurel",41,44,38,1,1,1,"F","25","Midwest"
"125"," 125","Yanney",44,48,40,1,1,1,"F","30","Northeast"
"126"," 126","Laurel",43,42,44,1,1,1,"F","35","Southeast"
"127"," 127","Laurel",43,48,38,1,1,1,"M","25",""
"128"," 128","Yanney",,,,0,0,0,"M","25","Southeast"
"129"," 129","Laurel",,,38,1,1,1,"M","30","Southeast"
"130"," 130","Laurel",42,44,40,1,1,1,"F","30","Northeast"
"131"," 131","Laurel",,,50,1,1,1,"M","35","Northeast"
"132"," 132","Yanney",,,,1,0,0,"M",,"West"
"133"," 133","Laurel",50,52,48,1,1,1,"M","30","Midwest"
"134"," 134","Laurel",46,48,44,1,1,1,"M","30","Southwest"
"135"," 135","Laurel",44,46,42,1,1,1,"F","35","Midwest"
"136"," 136","Yanney",49,60,38,1,1,1,"M","25","Southeast"
"137"," 137","Laurel",43,50,36,1,1,1,"M","25","Southeast"
"138"," 138","Yanney",,,,0,0,0,"F","30","Southeast"
"139"," 139","Laurel",42,44,40,1,1,1,"M","25",""
"140"," 140","Laurel",,,44,1,1,1,"M","25","Northeast"
"141"," 141","Laurel",45,40,50,1,1,1,"M","25","Northeast"
"142"," 142","Yanney",,,,0,0,0,"M","30","West"
"143"," 143","Laurel",,,40,1,1,1,"M","35","West"
"144"," 144","Laurel",47,52,42,1,1,1,"F","25","Midwest"
"145"," 145","Laurel",47,52,42,1,1,1,"F","25","Midwest"
"146"," 146","Laurel",47,52,42,1,1,1,"F","25","Midwest"
"147"," 147","Yanney",46,40,52,1,1,1,"M","30","Northeast"
"148"," 148","Yanney",53,52,54,1,1,1,"M","25","West"
"149"," 149","Laurel",,,44,0,1,0,"M","30","Midwest"
"150"," 150","Yanney",,,,0,0,0,"M","25","Southeast"
"151"," 151","Laurel",39,42,36,1,1,1,"M","25","Midwest"
"152"," 152","Laurel",,42,,1,0,0,"M","25","Southeast"
"153"," 153","Laurel",,,,0,0,0,,,""
"154"," 154","Laurel",42,52,32,1,1,1,"M","30","Northeast"
"155"," 155","Yanney",53,52,54,1,1,1,"M","30","Northeast"
"156"," 156","Laurel",44,54,34,1,1,1,"M","45",""
"157"," 157","Yanney",,,,0,0,0,"F","25","Southeast"
"158"," 158","Laurel",45,48,42,1,1,1,"F","25","Southeast"
"159"," 159","Yanney",,,,0,0,0,"M","35","Midwest"
"160"," 160","Yanney",,,,0,0,0,"F","30","Southeast"
"161"," 161","Laurel",,,44,1,1,1,"F","30","Northeast"
"162"," 162","Yanney",41,42,40,1,1,1,"M","55","Midwest"
"163"," 163","Yanney",,,36,1,1,1,"M","25",""
"164"," 164","Laurel",,44,,1,0,0,"M","25",""
"165"," 165","Laurel",36,36,36,1,1,1,"F","30","Northeast"
"166"," 166","Yanney",,,,0,0,0,"M","25","Northeast"
"167"," 167","Yanney",,,,0,0,0,"M","25",""
"168"," 168","Yanney",,,,0,0,0,"F","30","West"
"169"," 169","Yanney",,66,,1,0,0,"M","25","Hawaii, Alaska or other territory"
"170"," 170","Yanney",,,,0,0,0,"M","35","Northeast"
"171"," 171","Laurel",48,40,56,1,1,1,"F","35","West"
"172"," 172","Laurel",,,,1,1,1,"M","25","Northeast"
"173"," 173","Yanney",,,32,0,1,0,"M","25",""
"174"," 174","Laurel",35,38,32,1,1,1,"M","25","Northeast"
"175"," 175","Yanney",56,60,52,1,1,1,"M","25","Midwest"
"176"," 176","Laurel",,,42,0,1,0,"M","30","Northeast"
"177"," 177","Laurel",43,46,40,1,1,1,"M","35","Southeast"
"178"," 178","Laurel",,36,,1,0,0,"F","30","Southeast"
"179"," 179","Laurel",40,40,40,1,1,1,"F","35","Southeast"
"180"," 180","Laurel",,36,,1,0,0,"F","30","Southeast"
"181"," 181","Laurel",50,60,40,1,1,1,"M","30","Northeast"
"182"," 182","Yanney",,,,0,0,0,"M","25","Midwest"
"183"," 183","Laurel",43,42,44,1,1,1,"M","25","Northeast"
"184"," 184","Laurel",,,40,0,1,0,"F","40",""
"185"," 185","Laurel",42,40,44,1,1,1,"F","35","Northeast"
"186"," 186","Laurel",45,46,44,1,1,1,"M","25","Midwest"
"187"," 187","Laurel",47,56,38,1,1,1,"F","25","Midwest"
"188"," 188","Laurel",,,42,0,1,0,"M","35","Southwest"
"190"," 190","Laurel",42,44,40,1,1,1,,,""
"191"," 191","Yanney",,,,0,0,0,"F",,"Northeast"
"192"," 192","Yanney",,,,0,0,0,"F","25","Midwest"
"193"," 193","Yanney",,,,0,0,0,"M","45","Midwest"
"194"," 194","Yanney",,,,0,0,0,"F","35","Southeast"
"195"," 195","Yanney",,,,1,0,0,,,""
"196"," 196","Yanney",,,,0,0,0,"F","30",""
"197"," 197","",64,62,66,1,1,1,"M","18","Midwest"
"198"," 198","Yanney",50,52,48,1,1,1,"F","25","Northeast"
"199"," 199","Laurel",52,54,50,1,1,1,"M",,""
"200"," 200","Laurel",54,52,56,1,1,1,"M","35","Northeast"
"201"," 201","Laurel",52,54,50,1,1,1,"M",,""
"202"," 202","Laurel",,,32,1,1,1,"F","25","Midwest"
"203"," 203","Yanney",50,52,48,1,1,1,"M","25","Southeast"
"204"," 204","Yanney",36,36,36,1,1,1,"M","30","Southwest"
"205"," 205","Yanney",51,54,48,1,1,1,"M","25","Southeast"
"206"," 206","Laurel",43,38,48,1,1,1,"M","18","Southeast"
"207"," 207","Laurel",,46,,1,0,0,"M","40","Southeast"
"208"," 208","Yanney",,,,0,0,0,"F","35","Midwest"
"209"," 209","Laurel",,,,0,0,0,"M","25","Southeast"
"210"," 210","Laurel",32,32,32,1,1,1,"F","30",""
"211"," 211","Laurel",,,40,0,1,0,"M","25","Midwest"
"212"," 212","Laurel",49,36,62,1,1,1,"M","25","Midwest"
"213"," 213","",,,,0,0,0,,,""
"214"," 214","Laurel",,,36,0,1,0,"M","30","Northeast"
"215"," 215","Laurel",37,38,36,1,1,1,"F","35","West"
"216"," 216","Laurel",45,46,44,1,1,1,"M","30","Southeast"
"217"," 217","Laurel",44,48,40,1,1,1,"F","18",""
"218"," 218","Yanney",38,40,36,1,1,1,"M","25",""
"219"," 219","Yanney",,,,0,0,0,"M","25","Northeast"
"220"," 220","Laurel",,,38,1,1,1,"F","35","Southeast"
"221"," 221","Laurel",41,42,40,1,1,1,"M","35","West"
"222"," 222","Laurel",43,44,42,1,1,1,"M","30","Southwest"
"223"," 223","Yanney",,,,0,0,0,"M","25","West"
"224"," 224","Yanney",52,64,40,1,1,1,"F","25","Midwest"
"225"," 225","Laurel",44,44,44,1,1,1,"M","30","Northeast"
"226"," 226","Yanney",48,52,44,1,1,1,"F","25",""
"227"," 227","Laurel",41,42,40,1,1,1,"M","30",""
"228"," 228","Laurel",,,,0,0,0,,,""
"229"," 229","Laurel",41,46,36,1,1,1,"F","25","Southeast"
"230"," 230","Laurel",,,42,0,1,0,"M","30","Southeast"
"231"," 231","Yanney",,,,0,0,0,"M","30",""
"232"," 232","Yanney",52,52,52,1,1,1,"F","30","Southeast"
"233"," 233","Yanney",,,,0,0,0,,,""
"234"," 234","Yanney",51,56,46,1,1,1,"F","25","Northeast"
"235"," 235","Laurel",40,44,36,1,1,1,"M","30","Southeast"
"236"," 236","Laurel",40,44,36,1,1,1,"M","25","West"
"237"," 237","Laurel",,,44,1,1,1,"F","35","Southwest"
"238"," 238","Yanney",52,62,42,1,1,1,"M","30","Northeast"
"239"," 239","Yanney",,,,0,0,0,"M","30","Hawaii, Alaska or other territory"
"240"," 240","Laurel",,,,0,0,0,"M","30","West"
"241"," 241","Laurel",45,48,42,1,1,1,"M","35","Southwest"
"242"," 242","Yanney",43,46,40,1,1,1,"M","30","Northeast"
"243"," 243","Laurel",45,48,42,1,1,1,"M","25","Southeast"
"244"," 244","Yanney",47,44,50,1,1,1,"M","35","Midwest"
"245"," 245","Yanney",,,60,0,1,0,"M","25","Southeast"
"246"," 246","Laurel",51,46,56,1,1,1,"M","25","Southwest"
"247"," 247","Yanney",46,50,42,1,1,1,"F","30",""
"248"," 248","Laurel",,,,0,0,0,"F","30","Midwest"
"249"," 249","Laurel",,,38,0,1,0,"M","35","West"
"250"," 250","Laurel",35,32,38,1,1,1,"M","25","Midwest"
"251"," 251","Laurel",39,42,36,1,1,1,"M","30","West"
"252"," 252","Yanney",,,,0,0,0,"Prefer not to say",,"Northeast"
"253"," 253","Yanney",,,,0,0,0,"M","25","Southwest"
"254"," 254","Laurel",,,32,0,1,0,"M","25","Northeast"
"255"," 255","Laurel",,32,,1,0,0,"M","25","Midwest"
"256"," 256","Laurel",,,44,1,1,1,"F","35","West"
"257"," 257","Yanney",46,46,46,1,1,1,"F","40","Midwest"
"258"," 258","Laurel",,,,0,1,0,"F","25","Midwest"
"259"," 259","Yanney",,,60,0,1,0,"M","30",""
"260"," 260","Laurel",45,42,48,1,1,1,"M","30","Midwest"
"261"," 261","Laurel",,,32,0,1,0,"M","18",""
"262"," 262","Yanney",46,48,44,1,1,1,"M","25","Southeast"
"263"," 263","Laurel",41,42,40,1,1,1,"M","35","Southeast"
"264"," 264","Laurel",44,50,38,1,1,1,"M","25","West"
"265"," 265","Laurel",44,44,44,1,1,1,"NB","25","Midwest"
"266"," 266","Laurel",43,44,42,1,1,1,"M","30","Midwest"
"267"," 267","Laurel",46,46,46,1,1,1,"M","18","West"
"268"," 268","Yanney",,,,1,0,0,"F","30","Northeast"
"269"," 269","Yanney",,,,0,0,0,"F","25","Southeast"
"270"," 270","Yanney",,,,0,0,0,"F","30",""
"271"," 271","Yanney",,50,,1,0,0,"F","40","Midwest"
"272"," 272","Laurel",43,44,42,1,1,1,"M","30","Midwest"
"273"," 273","Laurel",,,42,0,1,0,"M","25","Southeast"
"274"," 274","Laurel",,,,1,0,0,"F","35",""
"275"," 275","Yanney",,,,0,0,0,"F","25",""
"276"," 276","Laurel",,,,1,0,0,"F","25","Southwest"
"277"," 277","Yanney",,,,0,0,0,"M","40","Northeast"
"278"," 278","Yanney",45,54,36,1,1,1,"M","25","Midwest"
"279"," 279","Yanney",,,,0,0,0,"M","25","West"
"280"," 280","Yanney",,,,0,0,0,"M","40","Northeast"
"281"," 281","Yanney",58,50,66,1,1,1,"M","55","Southeast"
"282"," 282","Laurel",,,40,0,1,0,"F","35","Southeast"
"283"," 283","Laurel",44,48,40,1,1,1,"M","25","Southeast"
"284"," 284","Laurel",,,,0,0,0,"M","25","West"
"285"," 285","Laurel",44,46,42,1,1,1,"F","30","Midwest"
"286"," 286","Yanney",,,54,0,1,0,"M","35","Midwest"
"287"," 287","Laurel",46,48,44,1,1,1,"Prefer not to say",,"West"
"288"," 288","Laurel",,46,,1,0,0,"M","25","Southeast"
"289"," 289","Laurel",,,40,0,1,0,"F","35","Southeast"
"290"," 290","Yanney",,,,0,0,0,"M","25","Southeast"
"291"," 291","Laurel",,,48,0,1,0,"M","35",""
"292"," 292","Laurel",44,46,42,1,1,1,"F","18","Northeast"
"293"," 293","Yanney",,,,0,0,0,"M","30","Northeast"
"294"," 294","Laurel",,,,1,1,1,"M","35","Northeast"
"295"," 295","Laurel",45,44,46,1,1,1,"F","35","West"
"296"," 296","",,,,0,0,0,,,""
"297"," 297","Yanney",,,,0,0,0,"M","35","West"
"298"," 298","Yanney",,44,,1,0,0,"M","30","Midwest"
"299"," 299","Laurel",51,42,60,1,1,1,"M","30","West"
"300"," 300","Laurel",,,34,0,1,0,"M","25","Northeast"
"301"," 301","Yanney",,,,0,0,0,"M","40","Southwest"
"302"," 302","Yanney",,,,0,0,0,"M","30","Northeast"
"303"," 303","Laurel",41,44,38,1,1,1,"M","55","Northeast"
"304"," 304","Laurel",,,44,1,1,1,"F","35","West"
"305"," 305","Laurel",43,44,42,1,1,1,"F","40","Hawaii, Alaska or other territory"
"306"," 306","Laurel",58,58,58,1,1,1,"M","45","West"
"307"," 307","Yanney",50,52,48,1,1,1,"M","25",""
"308"," 308","Laurel",,,,0,0,0,"M","25","West"
"309"," 309","Yanney",40,42,38,1,1,1,"M","25","Northeast"
"310"," 310","Laurel",42,42,42,1,1,1,"M","25",""
"311"," 311","Laurel",41,44,38,1,1,1,"M","55","Northeast"
"312"," 312","Laurel",,,32,0,1,0,"M","35","Midwest"
"313"," 313","Laurel",48,40,56,1,1,1,"F","25","Midwest"
"314"," 314","Laurel",,,42,1,1,1,"F","25","Southeast"
"315"," 315","Laurel",,,44,1,1,1,"M","35","West"
"316"," 316","Yanney",46,46,46,1,1,1,"Prefer not to say",,"West"
"317"," 317","Yanney",,50,,1,0,0,"M","30",""
"318"," 318","Laurel",,,,0,0,0,"F","55","Northeast"
"319"," 319","Laurel",,,,1,0,0,,,""
"320"," 320","Laurel",57,56,58,1,1,1,"M","35","Midwest"
"321"," 321","Laurel",45,48,42,1,1,1,"M","35","West"
"322"," 322","Laurel",,,32,0,1,0,"F","35","Northeast"
"323"," 323","Yanney",47,44,50,1,1,1,"F","35","West"
"324"," 324","Laurel",,,,1,0,0,"M","25","Northeast"
"325"," 325","Laurel",,,,0,0,0,"M","30","Northeast"
"326"," 326","Laurel",,,48,1,1,1,"M","30",""
"327"," 327","Laurel",,,42,0,1,0,"M","40",""
"328"," 328","Yanney",37,32,42,1,1,1,"F","35","West"
"329"," 329","Laurel",44,38,50,1,1,1,"M","25",""
"330"," 330","Yanney",48,56,40,1,1,1,"M","30",""
"331"," 331","Laurel",48,50,46,1,1,1,"F","25","Midwest"
"332"," 332","Laurel",36,38,34,1,1,1,"M","25","Midwest"
"333"," 333","Laurel",,,,1,0,0,"M","45","Southwest"
"334"," 334","Laurel",40,44,36,1,1,1,"NB","35",""
"335"," 335","Laurel",,,44,0,1,0,"M","25",""
"336"," 336","Laurel",,,,0,0,0,"M","25","Southeast"
"337"," 337","Laurel",41,42,40,1,1,1,"M","35","West"
"338"," 338","Laurel",46,46,46,1,1,1,"F","25","Southwest"
"339"," 339","Laurel",,,34,1,1,1,"M","45","Midwest"
"340"," 340","Laurel",46,46,46,1,1,1,"M","25","Southeast"
"341"," 341","Yanney",,,58,0,1,0,"F","25","Southeast"
"342"," 342","Yanney",,,,0,0,0,"M","25","West"
"343"," 343","Laurel",45,46,44,1,1,1,"M","25","Southwest"
"344"," 344","Laurel",,36,,1,0,0,"M","25","Midwest"
"345"," 345","Laurel",34,34,34,1,1,1,,,""
"346"," 346","Laurel",,,40,1,1,1,"M","30","Southeast"
"347"," 347","Laurel",,36,,1,0,0,"M","25","Northeast"
"348"," 348","Laurel",,,40,0,1,0,"M","35","West"
"349"," 349","Yanney",54,62,46,1,1,1,"M","35","Southwest"
"350"," 350","Laurel",,,,0,0,0,"M","30","Southwest"
"351"," 351","Laurel",41,44,38,1,1,1,"M","30","West"
"352"," 352","Yanney",53,60,46,1,1,1,"F","18",""
"353"," 353","Laurel",40,40,40,1,1,1,"M","35","West"
"354"," 354","Laurel",,,32,0,1,0,"M","35","Southeast"
"355"," 355","Laurel",42,44,40,1,1,1,"M","40","Northeast"
"356"," 356","Laurel",41,44,38,1,1,1,"F","30",""
"357"," 357","Laurel",41,44,38,1,1,1,"F","30",""
"358"," 358","Yanney",47,48,46,1,1,1,"F","30","Southeast"
"359"," 359","Yanney",44,46,42,1,1,1,"M","30","Midwest"
"360"," 360","Laurel",,,,0,0,0,"F","25",""
"361"," 361","Yanney",47,58,36,1,1,1,"F","35",""
"362"," 362","Yanney",,,,1,0,0,"M","30",""
"363"," 363","Laurel",,,38,0,1,0,"M","25","West"
"364"," 364","Yanney",40,42,38,1,1,1,"F","30",""
"365"," 365","Yanney",,,,0,0,0,"M","35","Northeast"
"366"," 366","Laurel",,,34,0,1,0,"M","25","Midwest"
"367"," 367","Laurel",50,48,52,1,1,1,"M","30","Northeast"
"368"," 368","Laurel",41,42,40,1,1,1,"M","30","Southeast"
"369"," 369","Laurel",34,34,34,1,1,1,"M","25",""
"370"," 370","Laurel",50,50,50,1,1,1,"M","30",""
"371"," 371","Laurel",45,48,42,1,1,1,"M","25",""
"372"," 372","Laurel",39,44,34,1,1,1,"M","35","Midwest"
"373"," 373","Laurel",,,38,1,1,1,"M","25","Northeast"
"374"," 374","Laurel",41,42,40,1,1,1,"M","30","Southeast"
"375"," 375","Laurel",,,32,0,1,0,"M","35","Southeast"
"376"," 376","Laurel",41,42,40,1,1,1,"M","30",""
"377"," 377","Yanney",,40,,1,0,0,"M","25","Midwest"
"378"," 378","Yanney",,,,0,0,0,"M","25","Northeast"
"379"," 379","Yanney",,,,0,0,0,"M","30","West"
"380"," 380","Laurel",,,32,0,1,0,"M","25","Northeast"
"381"," 381","Yanney",,,,0,0,0,"F","55","West"
"382"," 382","Laurel",,,48,0,1,0,"F","25","West"
"383"," 383","Yanney",59,64,54,1,1,1,"M","35","Northeast"
"384"," 384","",,,,0,0,0,,,""
"385"," 385","Laurel",41,42,40,1,1,1,"M","30",""
"386"," 386","Laurel",40,42,38,1,1,1,"M","35",""
"387"," 387","Yanney",49,48,50,1,1,1,"M","40","West"
"388"," 388","Yanney",,,,0,0,0,"F","55","West"
"389"," 389","Laurel",,,,0,0,0,"M","25","Midwest"
"390"," 390","",,,,0,0,0,,,""
"391"," 391","Laurel",,44,,1,0,0,"M","35","Hawaii, Alaska or other territory"
"392"," 392","Yanney",,,54,0,1,0,"M","35",""
"393"," 393","Yanney",54,54,54,1,1,1,"M","25",""
"394"," 394","Yanney",,,,0,0,0,"M","35","West"
"395"," 395","Laurel",,,,0,0,0,,,""
"396"," 396","Laurel",,,,0,0,0,,,""
"397"," 397","Laurel",48,52,44,1,1,1,"F","30","West"
"398"," 398","Laurel",40,40,40,1,1,1,"M","30","Northeast"
"399"," 399","Laurel",,,,0,0,0,,,""
"400"," 400","Laurel",,,32,0,1,0,"M","45","Northeast"
"401"," 401","Laurel",40,42,38,1,1,1,"F","40","Northeast"
"402"," 402","Laurel",39,44,34,1,1,1,"M","25",""
"403"," 403","Laurel",43,44,42,1,1,1,"M","40","Southwest"
"404"," 404","Laurel",,,50,1,1,1,"F","25","West"
"405"," 405","Laurel",,,34,0,1,0,"F","35","West"
"406"," 406","Laurel",45,48,42,1,1,1,"M","30","West"
"407"," 407","Laurel",51,42,60,1,1,1,"M","18","Northeast"
"408"," 408","Laurel",,,32,0,1,0,"F","40","West"
"409"," 409","Yanney",,,,0,0,0,"M","25","West"
"410"," 410","Laurel",,,32,0,1,0,"F","40","West"
"411"," 411","Laurel",33,34,32,1,1,1,"M","25",""
"412"," 412","Laurel",41,48,34,1,1,1,"M","25","Midwest"
"413"," 413","Yanney",45,50,40,1,1,1,"F","30","Southwest"
"414"," 414","Yanney",45,46,44,1,1,1,"M","35","West"
"415"," 415","Yanney",,,,0,0,0,"F","40","West"
"416"," 416","Laurel",50,56,44,1,1,1,"F","65","Midwest"
"417"," 417","Laurel",,38,,1,0,0,"M","35","Southeast"
"418"," 418","Laurel",,38,,1,0,0,"M","35","Southeast"
"419"," 419","Laurel",49,44,54,1,1,1,"F","40","Southwest"
"420"," 420","Yanney",46,44,48,1,1,1,"M","18",""
"421"," 421","Laurel",,,,0,0,0,"M","25","Northeast"
"422"," 422","Laurel",38,42,34,1,1,1,"M","25","Northeast"
"423"," 423","Laurel",,,40,1,1,1,"M","25","Southwest"
"424"," 424","Yanney",51,52,50,1,1,1,"M","25","Midwest"
"425"," 425","Yanney",,48,,1,0,0,"M","45","West"
"426"," 426","Laurel",40,32,48,1,1,1,"M","30","Southeast"
"427"," 427","Laurel",,,38,0,1,0,"M","40","Midwest"
"428"," 428","Laurel",,,,0,0,0,"M","18","Northeast"
"429"," 429","Laurel",42,46,38,1,1,1,"F","25","Northeast"
"430"," 430","Laurel",,,,1,1,1,"M","30","Northeast"
"431"," 431","Yanney",39,44,34,1,1,1,"M","30","West"
"432"," 432","Yanney",42,48,36,1,1,1,"M","18","West"
"433"," 433","Laurel",52,46,58,1,1,1,"M","25","Southeast"
"434"," 434","Laurel",,,44,0,1,0,"F","25","Midwest"
"435"," 435","Yanney",42,50,34,1,1,1,"M","30",""
